candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,uniform_l1p00_s2002,uniform,uniform,2002,1.0,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2048,0,2048,2048,0,0.9990234375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l1p00_s2002,uniform,uniform,2002,1.0,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2048,0,2048,2048,0,0.99951171875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l1p00_s2003,uniform,uniform,2003,1.0,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,2048,0,2048,2048,0,0.9990234375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,uniform_l1p00_s2003,uniform,uniform,2003,1.0,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,2048,0,2048,2048,0,0.99951171875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,uniform_l1p25_s2001,uniform,uniform,2001,1.25,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,2536,484,2052,2052,0,0.9990234375,15,18,20,15,0.9982333346990564,0.7472527472527473,6
mock-flat-rr-model,uniform_l1p25_s2001,uniform,uniform,2001,1.25,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,2536,485,2051,2051,0,0.99951171875,9,10,12,11,0.9989255914255566,0.7630057803468208,4
a4-quadtree-model,uniform_l1p25_s2002,uniform,uniform,2002,1.25,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,2574,522,2052,2052,0,0.9990234375,15,18,20,15,0.9980938595950799,0.7425149700598802,6
mock-flat-rr-model,uniform_l1p25_s2002,uniform,uniform,2002,1.25,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,2574,524,2050,2050,0,0.99951171875,9,10,13,12,0.9987593513128218,0.7567567567567568,3
a4-quadtree-model,uniform_l1p25_s2003,uniform,uniform,2003,1.25,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,2550,496,2054,2054,0,0.9990234375,15,18,20,15,0.9980299689495686,0.7341040462427746,8
mock-flat-rr-model,uniform_l1p25_s2003,uniform,uniform,2003,1.25,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,2550,499,2051,2051,0,0.99951171875,9,11,13,12,0.9990127158643322,0.75625,4
