suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,moving_hotspot_single_s3302,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,4,flat_k_grant,0,0,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,moving_hotspot_single_s3302,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,4,ecrf,4,4,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,pairwise_contention_affine,c8b2340e57c81603708a2ec1978a6c0d74d6fbfa24141f3070e336989ebb0821,4,flat_k_grant,0,0,0,480,480,480,0,480,2.0,2,2,2,1914
full50,pairwise_contention_affine,c8b2340e57c81603708a2ec1978a6c0d74d6fbfa24141f3070e336989ebb0821,4,ecrf,4,4,0,480,480,480,0,480,2.0,2,2,2,1914
full50,pairwise_contention_identity,e1df1600f2c15d17e15c9cdad60b51529eea9d0f685279840dcbbe9079d1f15a,4,flat_k_grant,0,0,0,480,480,480,0,480,2.0,2,2,2,1914
full50,pairwise_contention_identity,e1df1600f2c15d17e15c9cdad60b51529eea9d0f685279840dcbbe9079d1f15a,4,ecrf,4,4,0,480,480,480,0,480,2.0,2,2,2,1914
full50,phase_transition_s3501,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,4,flat_k_grant,0,0,0,3139,3139,3139,0,3139,2.0,2,2,2,3581
full50,phase_transition_s3501,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,4,ecrf,4,4,0,3139,3139,3139,0,3139,2.0,2,2,2,3581
full50,phase_transition_s3502,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,4,flat_k_grant,0,0,0,3167,3167,3167,0,3167,2.0,2,2,2,3572
full50,phase_transition_s3502,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,4,ecrf,4,4,0,3167,3167,3167,0,3167,2.0,2,2,2,3572
full50,retrigger_affine,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,4,flat_k_grant,0,0,0,512,512,512,0,512,2.0,2,2,2,1924
full50,retrigger_affine,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,4,ecrf,4,4,0,512,512,512,0,512,2.0,2,2,2,1924
