name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
moving_hotspot_multi_column_s3301,moving_hotspot,raw,4,4,8,74,1821,1638,183,1638,410,410,6552,2048,4.0,0.0999755859375,10.694139194139193,18,2058
moving_hotspot_multi_column_s3301,moving_hotspot,codec,4,4,8,74,1821,1638,183,1638,410,408,6546,2048,3.9963369963369964,0.0999755859375,10.694139194139193,18,2058
moving_hotspot_multi_column_s3301,moving_hotspot,raw,8,1,3,138,1821,514,1307,514,65,65,2056,2121,4.0,0.08077950652208078,94.19844357976653,129,2129
moving_hotspot_multi_column_s3301,moving_hotspot,codec,8,1,3,138,1821,514,1307,514,65,64,2053,2118,3.9941634241245136,0.08089392508655965,94.12062256809338,129,2126
moving_hotspot_multi_column_s3301,moving_hotspot,raw,8,2,5,138,1821,974,847,974,122,122,3896,2070,4.0,0.09410628019323672,41.662217659137575,61,2082
moving_hotspot_multi_column_s3301,moving_hotspot,codec,8,2,5,138,1821,974,847,974,122,122,3896,2070,4.0,0.09410628019323672,41.662217659137575,61,2082
moving_hotspot_multi_column_s3301,moving_hotspot,raw,8,4,8,138,1821,1782,39,1782,223,223,7128,2005,4.0,0.11109725685785536,17.54320987654321,23,2065
moving_hotspot_multi_column_s3301,moving_hotspot,codec,8,4,8,138,1821,1782,39,1782,223,222,7125,2005,3.9983164983164983,0.11109725685785536,17.54320987654321,23,2065
moving_hotspot_multi_column_s3301,moving_hotspot,raw,16,1,3,266,1821,531,1290,531,34,34,2124,2158,4.0,0.08202038924930491,157.09604519774012,193,2178
moving_hotspot_multi_column_s3301,moving_hotspot,codec,16,1,3,266,1821,532,1289,532,34,32,2122,2156,3.988721804511278,0.08225108225108226,156.91353383458647,193,2174
moving_hotspot_multi_column_s3301,moving_hotspot,raw,16,2,5,266,1821,1011,810,1011,64,64,4044,2086,4.0,0.09693192713326941,72.45994065281899,92,2112
moving_hotspot_multi_column_s3301,moving_hotspot,codec,16,2,5,266,1821,1011,810,1011,64,64,4044,2086,4.0,0.09693192713326941,72.45994065281899,92,2112
moving_hotspot_multi_column_s3301,moving_hotspot,raw,16,4,8,266,1821,1814,7,1814,114,114,7256,1928,4.0,0.11760892116182572,33.30650496141124,40,2080
moving_hotspot_multi_column_s3301,moving_hotspot,codec,16,4,8,266,1821,1814,7,1814,114,114,7256,1928,4.0,0.11760892116182572,33.30650496141124,40,2080
